word,frequency,relative_frequency,sts_category
back,287,0.0007373267153764734,—
events,286,0.0007347576327444996,—
protocols,285,0.0007321885501125258,—
check,285,0.0007321885501125258,—
day,284,0.000729619467480552,—
price,283,0.0007270503848485783,defi_finance
tools,283,0.0007270503848485783,usages
model,282,0.0007244813022166045,recherche
ith,282,0.0007244813022166045,—
private,281,0.0007219122195846308,—
design,280,0.0007193431369526569,recherche
small,280,0.0007193431369526569,—
further,280,0.0007193431369526569,—
currently,279,0.0007167740543206831,—
means,278,0.0007142049716887094,—
application,277,0.0007116358890567356,usages
currency,277,0.0007116358890567356,defi_finance
access,277,0.0007116358890567356,—
tooling,277,0.0007116358890567356,usages
place,276,0.0007090668064247619,—
across,276,0.0007090668064247619,—
ether,274,0.0007039286411608143,defi_finance
test,274,0.0007039286411608143,—
week,273,0.0007013595585288405,—
itself,271,0.000696221393264893,—
ot,271,0.000696221393264893,—
potential,269,0.0006910832280009454,—
send,269,0.0006910832280009454,—
approach,268,0.0006885141453689716,—
too,267,0.0006859450627369979,—
allows,267,0.0006859450627369979,—
com,267,0.0006859450627369979,—
systems,266,0.0006833759801050241,—
include,266,0.0006833759801050241,—
cases,265,0.0006808068974730504,—
progress,265,0.0006808068974730504,—
various,264,0.0006782378148410765,—
updates,263,0.0006756687322091027,—
good,259,0.0006653924016812077,—
idea,259,0.0006653924016812077,—
algorithm,259,0.0006653924016812077,recherche
down,257,0.0006602542364172601,—
space,257,0.0006602542364172601,—
blog,257,0.0006602542364172601,—
free,256,0.0006576851537852863,—
hen,256,0.0006576851537852863,—
rogram,255,0.0006551160711533126,—
share,254,0.0006525469885213388,—
platform,254,0.0006525469885213388,usages
details,253,0.000649977905889365,—
years,252,0.0006474088232573912,—
general,252,0.0006474088232573912,—
secure,251,0.0006448397406254175,sécurité
needs,251,0.0006448397406254175,—
lot,251,0.0006448397406254175,—
infrastructure,250,0.0006422706579934437,infrastructurel
size,249,0.00063970157536147,—
ayer,249,0.00063970157536147,—
technical,248,0.0006371324927294962,recherche
call,246,0.0006319943274655486,—
multiple,245,0.0006294252448335748,—
values,245,0.0006294252448335748,discours_vision
funding,245,0.0006294252448335748,gouvernance
ote,244,0.0006268561622016011,—
term,243,0.0006242870795696273,—
focus,243,0.0006242870795696273,—
trie,243,0.0006242870795696273,—
market,242,0.0006217179969376535,defi_finance
real,242,0.0006217179969376535,—
done,240,0.0006165798316737059,—
esearch,240,0.0006165798316737059,—
off,238,0.0006114416664097584,—
enough,238,0.0006114416664097584,—
launch,238,0.0006114416664097584,—
far,237,0.0006088725837777847,—
right,236,0.0006063035011458108,—
let,236,0.0006063035011458108,—
ther,236,0.0006063035011458108,—
ut,235,0.0006037344185138371,—
resources,235,0.0006037344185138371,—
called,235,0.0006037344185138371,—
transition,235,0.0006037344185138371,—
erkle,234,0.0006011653358818633,—
deposit,233,0.0005985962532498896,—
major,232,0.0005960271706179158,—
forward,232,0.0005960271706179158,—
learn,232,0.0005960271706179158,—
main,232,0.0005960271706179158,—
eisting,231,0.0005934580879859419,—
found,230,0.0005908890053539682,—
course,229,0.0005883199227219944,—
hese,229,0.0005883199227219944,—
attacker,228,0.0005857508400900207,—
latest,228,0.0005857508400900207,—
issue,228,0.0005857508400900207,développement
stack,228,0.0005857508400900207,—
top,226,0.0005806126748260732,—
others,226,0.0005806126748260732,—
goal,226,0.0005806126748260732,—
attacks,225,0.0005780435921940993,—
previous,225,0.0005780435921940993,—
memory,225,0.0005780435921940993,—
accounts,224,0.0005754745095621255,—
entire,224,0.0005754745095621255,—
vote,222,0.000570336344298178,gouvernance
result,221,0.0005677672616662043,—
side,220,0.0005651981790342304,—
round,220,0.0005651981790342304,—
efforts,220,0.0005651981790342304,—
valid,219,0.0005626290964022567,—
lient,219,0.0005626290964022567,—
live,219,0.0005626290964022567,—
ways,218,0.0005600600137702829,—
list,217,0.0005574909311383091,—
onsensus,217,0.0005574909311383091,—
bug,216,0.0005549218485063354,sécurité
fact,215,0.0005523527658743615,—
group,215,0.0005523527658743615,—
miner,215,0.0005523527658743615,—
effort,215,0.0005523527658743615,—
beacon,215,0.0005523527658743615,infrastructurel
participants,214,0.0005497836832423878,—
eb,214,0.0005497836832423878,—
try,214,0.0005497836832423878,—
verification,213,0.000547214600610414,sécurité
started,213,0.000547214600610414,—
total,213,0.000547214600610414,—
local,213,0.000547214600610414,—
built,212,0.0005446455179784403,—
understand,211,0.0005420764353464665,—
against,211,0.0005420764353464665,—
kind,209,0.0005369382700825189,—
implementations,209,0.0005369382700825189,—
released,209,0.0005369382700825189,—
bit,209,0.0005369382700825189,—
reward,207,0.0005318001048185714,defi_finance
members,207,0.0005318001048185714,—
focused,206,0.0005292310221865976,—
geth,206,0.0005292310221865976,—
past,205,0.0005266619395546239,—
makes,202,0.0005189546916587025,—
anyone,202,0.0005189546916587025,—
ore,201,0.0005163856090267287,—
database,201,0.0005163856090267287,—
old,201,0.0005163856090267287,—
grants,201,0.0005163856090267287,—
improve,200,0.000513816526394755,—
creating,199,0.0005112474437627812,—
power,199,0.0005112474437627812,—
anything,199,0.0005112474437627812,—
related,199,0.0005112474437627812,—
certain,198,0.0005086783611308074,—
put,198,0.0005086783611308074,—
involved,197,0.0005061092784988336,—
works,197,0.0005061092784988336,—
increase,197,0.0005061092784988336,—
complete,197,0.0005061092784988336,—
add,196,0.0005035401958668599,—
privacy,196,0.0005035401958668599,—
needed,196,0.0005035401958668599,—
feature,196,0.0005035401958668599,développement
rotocol,196,0.0005035401958668599,—
fees,195,0.0005009711132348861,defi_finance
looking,195,0.0005009711132348861,—
eveloper,195,0.0005009711132348861,—
recent,195,0.0005009711132348861,—
follow,194,0.0004984020306029124,—
along,194,0.0004984020306029124,—
fully,194,0.0004984020306029124,—
concept,193,0.0004958329479709385,—
step,193,0.0004958329479709385,—
website,193,0.0004958329479709385,—
solution,191,0.000490694782706991,—
epected,191,0.000490694782706991,—
required,190,0.0004881257000750172,—
fee,190,0.0004881257000750172,defi_finance
weeks,190,0.0004881257000750172,—
easy,189,0.0004855566174430434,—
fter,189,0.0004855566174430434,—
peer,188,0.00048298753481106966,infrastructurel
times,188,0.00048298753481106966,—
balance,188,0.00048298753481106966,—
funds,188,0.00048298753481106966,—
ensure,188,0.00048298753481106966,—
github,188,0.00048298753481106966,développement
ca,187,0.0004804184521790959,—
blockchains,187,0.0004804184521790959,—
sure,186,0.0004778493695471221,—
problems,186,0.0004778493695471221,—
ownload,186,0.0004778493695471221,—
ere,185,0.00047528028691514834,—
service,185,0.00047528028691514834,usages
days,185,0.00047528028691514834,—
irst,184,0.0004727112042831746,—
perhaps,184,0.0004727112042831746,—
ne,184,0.0004727112042831746,—
note,184,0.0004727112042831746,—
impact,183,0.0004701421216512008,—
series,182,0.000467573039019227,—
crypto,182,0.000467573039019227,—
don,182,0.000467573039019227,—
message,182,0.000467573039019227,—
created,181,0.0004650039563872532,—
financial,181,0.0004650039563872532,defi_finance
analysis,180,0.00046243487375527946,recherche
stable,180,0.00046243487375527946,—
original,180,0.00046243487375527946,—
coins,180,0.00046243487375527946,—
communities,180,0.00046243487375527946,—
computation,180,0.00046243487375527946,—
form,180,0.00046243487375527946,—
short,180,0.00046243487375527946,—
limit,179,0.0004598657911233057,—
structure,179,0.0004598657911233057,—
improvements,179,0.0004598657911233057,—
multi,179,0.0004598657911233057,—
else,178,0.0004572967084913319,—
strategy,178,0.0004572967084913319,—
performance,177,0.00045472762585935814,infrastructurel
warm,177,0.00045472762585935814,—
money,176,0.0004521585432273844,—
allowing,176,0.0004521585432273844,—
keys,176,0.0004521585432273844,—
ur,176,0.0004521585432273844,—
